common_name,scientific_name,species_group,esa_status,foreign_or_domestic,image_url,image_url_full,location,country,food,habitat_requirements,home_range,cause,reproduction,description,status_code
Western prairie fringed Orchid,Platanthera praeclara,Flowering Plants,Threatened,Both Domestic and Foreign,/docs/species_images/doc1027.jpg,https://ecos.fws.gov/docs/species_images/doc1027.jpg,"POLYGON((-109.204288028605 36.8114433333317,-109.204288028605 49.0000030061731,-90.1400513362218 49.0000030061731,-90.1400513362218 36.8114433333317,-109.204288028605 36.8114433333317))",Canada,No information available,"Platanthera praeclara, the Western prairie fringed orchid, is a perennial orchid of the North American tall grass prairie and is found most often on unplowed, calcareous prairies and sedge meadows.  Soil moisture is a critical determinant of growth, flowering, and distribution of western prairie fringed orchid (USFWS 2009). This species is dependent on mycorrhizal fungi, especially for seed germination and for nutritional support before plants are capable of photosynthesis. 

The persistence of western prairie fringed orchid is dependent on periodic disturbance by fire, mowing, or grazing, but these practices may also cause adverse effects and must be carefully implemented.

The species occurs in Iowa, Kansas, Minnesota, Missouri, Nebraska, North Dakota, and Oklahoma.  Upstream depletions to the Platte River system in Colorado and Wyoming may affect the species in Nebraska.
",No information available,"In its recovery plan (USFWS 1996) the Service mostly reiterated the threats it described in the final listing rule, but emphasized that conversion of habitat to cropland was the greatest remaining threat to southern populations.  It also emphasized that little was known about how to ensure that burning, grazing, and mowing are conducted in a manner not adverse to western prairie fringed orchid populations and pointed out that actions that directly or indirectly lower water levels in the rooting zone of plants have the potential of serious adverse impacts.  In addition, it implied that potential impacts of pesticides to western prairie fringed orchid and its pollinators was also a threat.  

As with the conservation of other rare prairie species that exist in fragments of a once vast ecosystem, successful management consists of careful application of practices that are essential for conserving the habitat, while ensuring that associated adverse effects are avoided or minimized.
","Although Western prairie fringed orchid forms tubers and vegetative shoots from existing plants, pollination is required for seed production. Western prairie fringed orchid is pollinated by a few species of sphinx moths (USFWS 2009). Seeds are wind-dispersed and may also be adapted for dissemination through the soil profile by water.","The Western prairie fringed orchid is a terrestrial member of the orchid family.  This smooth, erect, perennial herb grows to 1.2 meters 4 feet (ft)] tall.  Plants have two to five fairly thick, elongate, hairless leaves each. The open, spike-like flowering stalk bears up to 24 showy, 2.5 centimeters (cm) [1-inch (in)] wide, white flowers.  The lower petal of each flower is deeply 3-lobed and fringed, hence the common name.",200
Wood Bison,Bison bison athabascae,Mammals,Threatened,Both Domestic and Foreign,/docs/species_images/doc3634.jpg,https://ecos.fws.gov/docs/species_images/doc3634.jpg,"POLYGON((-166.28103727779 58.626188113987,-166.28103727779 69.0791930712513,-141.001985555386 69.0791930712513,-141.001985555386 58.626188113987,-166.28103727779 58.626188113987))",Canada,No information available,No information available,No information available,No information available,No information available,"The Wood Bison is the largest Canadian terrestrial mammal.  It is dark brown, with a massive head, a high hump on its large shoulders, and long shaggy hair on its shoulders and front legs.  The short legs end in rounded hooves.  The short and black horns curve inward on the males, but are straight on the females.  There are two moults every year, one in the spring and one in the fall.  The males are larger than the females; an adult male measures 3.04 to 3.8 m in length and 1.67 to 1.82 m in height (at the shoulders), and weighs between 350 and 1000 kg.",200
Woodland Caribou,Rangifer tarandus caribou,Mammals,Endangered,Both Domestic and Foreign,/docs/species_images/doc3662.jpg,https://ecos.fws.gov/docs/species_images/doc3662.jpg,"POLYGON((-117.34163763395 48.5199487756864,-117.34163763395 48.9998588823521,-116.433910375638 48.9998588823521,-116.433910375638 48.5199487756864,-117.34163763395 48.5199487756864))",United States,No information available,No information available,No information available,No information available,No information available,"Caribou have large, concave hoofs that spread widely to support the animal in snow and soft tundra. The feet also function as paddles when caribou swim. Caribou are the only member of the deer family (Cervidae) in which both sexes grow antlers. Antlers of adult bulls are large and massive; those of adult cows are much shorter and are usually more slender and irregular. In late fall, caribou are clove-brown with a white neck, rump, and feet and often have a white flank stripe. The hair of newborn calves is generally reddish-brown. Newborn calves weigh an average of 13 pounds (6 kg) and grow very quickly. They may double their weight in 10-15 days. Weights of adult bulls average 350-400 pounds (159-182 kg). However, weights of 700 pounds (318 kg) have been recorded. Mature females average 175-225 pounds (80-120 kg). Caribou in northern and southwestern Alaska are generally smaller than caribou in the Interior and in southern parts of the state. The Service is currently working to recover the Selkirk Mountain population of the woodland caribou.",200
Wood stork,Mycteria americana,Birds,Threatened,Domestic,/docs/species_images/doc1974.jpg,https://ecos.fws.gov/docs/species_images/doc1974.jpg,"POLYGON((-91.6550189808972 24.3962975935469,-91.6550189808972 35.3153036654124,-77.6513890540123 35.3153036654124,-77.6513890540123 24.3962975935469,-91.6550189808972 24.3962975935469))",United States,"Small fish from 1 to 6 inches long, especially topminnows and sunfish, provide this bird's primary diet.  Wood storks capture their prey by a specialized technique known as grope-feeding or tacto-location.  Feeding often occurs in water 6 to 10 inches deep, where a stork probes with the bill partly open.  When a fish touches the bill it quickly snaps shut.  The average response time of this reflex is 25 milliseconds, making it one of the fastest reflexes known in vertebrates.  Wood storks use thermals to soar as far as 80 miles from nesting to feeding areas.  Since thermals do not form in early morning, wood storks may arrive at feeding areas later than other wading bird species such as herons.  Energy requirements for a pair of nesting wood storks and their young is estimated at 443 pounds of fish for the breeding season (based on an average production of 2.25 fledglings per nest).","The southeast United States breeding population of the wood stork declined from an estimated 20,000 pairs in the 1930's to about 10,000 pairs by 1960, and to a low of approximately 5,000 pairs in the late 1970s.  Nesting primarily occurred in the Everglades.  The generally accepted explanation for the decline of the wood stork is the reduction in food base (primarly small fish) necessary to support breeding colonies.  This reduction is attributed to loss of wetland habitat as well as to changes in water hydroperiods from draining wetlands and changing water regimes by constructing levees, canals, and floodgates to alter water flow in south Florida.

Wood storks have a unique feeding technique and require higher prey concentrations than other wading birds.  Optimal water regimes for the wood stork involve periods of flooding, during which prey (fish) populations increase, alternating with dryer periods, during which receding water levels concentrate fish at higher densities coinciding with the stork's nesting season.  Loss of nesting habitat (primarily cypress swamps) may be affecting wood storks in central Florida, where nesting in non-native trees and in man-made impoundments has been occurring recently.  Less significant factors known to affect nesting success include prolonged drought and flooding, raccoon predation on nests, and human disturbance of rookeries.","The current population of adult birds is difficult to estimate, since not all nest each year.  Presently, the wood stork breeding population is believed to be greater than 8,000 nesting pairs (16,000 breeding adults).  Nesting has been restricted to Florida, Georgia, and South Carolina, however they may have formerly bred in most of the southeastern United States and Texas.  A second distinct, non-endangered population of wood storks breeds from Mexico to northern Argentina.

Storks from both populations move northward after breeding, with birds from the southeastern United States population moving as far north as North Carolina on the Atlantic coast and into Alabama and eastern Mississippi along the Gulf coast, and storks from Mexico moving up into Texas and Louisiana and as far north as Arkansas and Tennessee along the Mississippi River Valley.  There have been occasional sightings in all States along and east of the Mississippi River, and sporadic sightings in some States west of the Mississippi and in Ontario.",No information available,"The wood stork is a highly colonial species usually nesting in large rookeries and feeding in flocks.  Age at first breeding is 3 years but typically do so at 4.  Nesting periods vary geographically.  In South Florida, wood storks lay eggs as early as October and fledge in February or March.  However, in north and central Florida, Georgia, and South Carolina, storks lay eggs from March to late May, with fledging occurring in July and August.  Nests are frequently located in the upper branches of large cypress trees or in mangroves on islands.  Several nests are usually located in each tree.  Wood storks have also nested in man-made structures.  Storks lay two to five eggs, and average two young fledged per successful nest under good conditions.","Wood storks are large, long-legged wading birds, about 5O inches tall, with a wingspan of 60 to 65 inches. The plumage is white except for black primaries and secondaries and a short black tail. The head and neck are largely unfeathered and dark gray in color. The bill is black, thick at the base, and slightly decurved. Immature birds are dingy gray and have a yellowish bill. 
",200
Woundfin,Plagopterus argentissimus,Fishes,Endangered,Domestic,/docs/species_images/doc4924.jpg,https://ecos.fws.gov/docs/species_images/doc4924.jpg,"POLYGON((-114.473079918949 36.1947100154209,-114.473079918949 37.6135599912946,-113.270726904869 37.6135599912946,-113.270726904869 36.1947100154209,-114.473079918949 36.1947100154209))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Yellow-billed Cuckoo,Coccyzus americanus,Birds,Threatened,Both Domestic and Foreign,/docs/species_images/doc4623.jpg,https://ecos.fws.gov/docs/species_images/doc4623.jpg,"POLYGON((-124.740964644885 28.971536000553,-124.740964644885 49.002533874363,-102.321011001889 49.002533874363,-102.321011001889 28.971536000553,-124.740964644885 28.971536000553))",Canada,"Caterpillars top the list of Yellow-Billed Cuckoo prey: individual cuckoos eat thousands of caterpillars per season. On the East coast, periodic outbreaks of tent caterpillars draw cuckoos to eat as many as 100 caterpillars in one sitting. Fall webworms and the larvae of gypsy, brown-tailed, and white-marked tussock moths are also part of the cuckoos lepidopteran diet, often supplemented with beetles, ants, and spiders. They take advantage of the annual outbreaks of cicadas, katydids and crickets, and will hop to the ground to chase frogs and lizards. In summer and fall, cuckoos forage on small wild fruits, including elderberries, blackberries and wild grapes. In winter, fruit and seeds become a larger part of their diet. ","Yellow-billed Cuckoos use wooded habitat with dense cover and water nearby, including woodlands with low, scrubby, vegetation, overgrown orchards, abandoned farmland, and dense thickets along streams and marshes. In the Midwest, look for cuckoos in shrublands of mixed willow and dogwood, and in dense stands of small trees such as American elm. In the central and eastern U.S., Yellow-billed Cuckoos nest in oaks, beech, hawthorn, and ash. In the West, nests are often placed in willows along streams and rivers, with nearby cottonwoods serving as foraging sites. ","Yellow-billed Cuckoos breed throughout much of the eastern and central U.S., winter almost entirely in South America east of the Andes, and migrate through Central America.   The western subspecies (C.a. occidentalis) has disappeared over much of the western U.S. and now occurs as a rare breeder in California, Arizona, New Mexico, and west Texas.","In the West, much of the Yellow-Billed Cuckoos riparian habitat has been converted to farmland and housing, leading to population declines and the possible extirpation of cuckoos from British Columbia, Washington, Oregon, and Nevada. Once common in the California Central Valley, coastal valleys, and riparian habitats east of the Sierra Nevada, habitat loss now constrains the California breeding population to small numbers of birds. As long-distance, nocturnal migrants, Yellow-Billed Cuckoos are also vulnerable to collisions with tall buildings, cell towers, radio antennas, wind turbines, and other structures.Yellow-billed Cuckoo populations declined by 1.6 percent per year between 1966 and 2010. Partners in Flight estimates the global breeding population at about 9 million, with 84 percent breeding in the U.S., 10 percent in Mexico, and none in Canada. For more information on this species, including occurence, conservation strategies and recovery actions in specific states or regions, refer to the following resource:

Laymon, S. A. 1998. Yellow-billed Cuckoo (Coccycus americanus). In The Riparian Bird Conservation Plan:a strategy for reversing the decline of riparian-associated birds in California. California Partners in Flight. http://www.prbo.org/calpif/htmldocs/riparian_v-2.html","The male and female Yellow-billed Cuckoo build a flat, oblong platform nest together constructed of loose sticks, using twigs collected from the ground or snapped from nearby trees and shrubs. The pair may line the nest sparingly with strips of bark or dried leaves. The male sometimes continues bringing in nest materials after incubation has begun. Pairs may visit prospective nest sites multiple times before building a nest together. ","Yellow-billed Cuckoos are fairly large, long, and slim birds. The mostly yellow bill is almost as long as the head, thick and slightly downcurved. They have a flat head, thin body, and very long tail. Wings appear pointed and swept back in flight. Yellow-billed Cuckoos are warm brown above and clean whitish below. Their blackish face mask is accompanied by a yellow eyering. In flight, the outer part of the wings flash rufous. From below, the tail has wide white bands and narrower black ones. 

References cited in Species Profile  

Cornell Lab of Ornithology. 2015. Yellow-billed Cuckoo. All About Birds. http://www.allaboutbirds.org/guide/Yellow-billed_Cuckoo/id

Hughes, Janice M. 2015. Yellow-billed Cuckoo (Coccyzus americanus), The Birds of North America Online (A. Poole, Ed.). Ithaca: Cornell Lab of Ornithology; Retrieved from the Birds of North America Online: http://bna.birds.cornell.edu/bna/species/418

Laymon, S. A. 1998. Yellow-billed Cuckoo (Coccycus americanus). In The Riparian Bird Conservation Plan:a strategy for reversing the decline of riparian-associated birds in California. California Partners in Flight. http://www.prbo.org/calpif/htmldocs/riparian_v-2.html

Partners in Flight. 2012. Species assessment database. http://rmbo.org/pifassessment/Database.aspx

USGS Patuxent Wildlife Research Center. 2012. North American Breeding Bird Survey 1966-2010 analysis. http://www.mbr-pwrc.usgs.gov/bbs/specl10.html",200
Yellow blossom (pearlymussel),Epioblasma florentina florentina,Clams,Endangered,Domestic,/docs/species_images/doc4967.jpg,https://ecos.fws.gov/docs/species_images/doc4967.jpg,"POLYGON((-87.2864022102 36.041863963966,-87.2864022102 36.6265217091072,-85.2672629738422 36.6265217091072,-85.2672629738422 36.041863963966,-87.2864022102 36.041863963966))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Yellowcheek Darter,Etheostoma moorei,Fishes,Endangered,Domestic,/docs/species_images/doc4878.jpg,https://ecos.fws.gov/docs/species_images/doc4878.jpg,"POLYGON((-92.8567564996312 35.4946087000577,-92.8567564996312 35.9106735845229,-91.9164048341633 35.9106735845229,-91.9164048341633 35.4946087000577,-92.8567564996312 35.4946087000577))",United States,"Prey items consumed by the yellowcheek darter include blackfly larvae, stoneflies, mayflies and other aquatic insects. ","The yellowcheek darter inhabits high-gradient headwater tributaries with clear water, permanent flow, moderate to strong riffles, and gravel, cobble, and boulder substrates (Robison and Buchanan 1988).  ","Movement is not well understood.  During non-spawning months, there is a general movement to portions of the riffle with smaller substrate, such as gravel or cobble, and less turbulence (Robison and Harp 1981).  Weston and Johnson (2005) observed that the yellowcheek darter moved very little during a one-year migration study.  It was noted the yellowcheek darter appears to be a relatively non-mobile species, with 19 of 22 recaptured individuals found within nine meters (29.5 ft) of their original capture position after periods of several months (Weston and Johnson 2005).  

Yellowcheek darter is endemic to the Little Red River system in the Boston Mountains of north central Arkansas.  It occurs in the South, Archey, Middle, Beech, and Devils Forks of the Little Red River.",Maximum lifespan is around five years (McDaniel 1984).  ,"Yellowcheek Darter males and females reach sexual maturity at one year of age(McDaniel 1984).  Spawning occurs from late May through June in portions of riffles with swift to moderately swift water velocities, often around or under the largest substrate particles (McDaniel 1984), although brooding females have been found at the head of riffles in smaller gravel substrate (Wine et al. 2000).  

Researchers have suggested the yellowcheek darterYellowcheek Darter deposits eggs on the undersides of large cobble in swift water (McDaniel 1984).  Wine and Blumenshine (2002) noted, during laboratory spawning, yellowcheek darter females bury themselves in fine gravel or sand substrates (often behind large cobble or boulders) with only their heads and caudal fin exposed.  A male yellowcheek darter will then position upstream of the buried female and fertilize her eggs as she releases them in a vibrating motion.  Clutch size and nest defense behavior were not observed by Wine and Blumenshine (2002), but laboratory spawning efforts by Conservation Fisheries, Inc. noted clutch sizes were routinely between 20-40 eggs (CFI 2007). ","The yellowcheek darter is a small and laterally-compressed fish that attains a maximum standard length of about 6.4 cm (2.5 in), and has a moderately sharp snout, deep body, and deep caudal peduncle (Raney and Suttkus 1964).  The back and sides are grayish brown, often with darker brown saddles and lateral bars.  Breeding males are brightly colored with a bright blue or brilliant turquoise throat and breast and a light-green belly, while breeding females possess orange and red-orange spots but are not brightly colored (Robison and Buchanan 1988).  ",200
Yellow lampmussel,Lampsilis cariosa,Clams,Species of Concern,Both Domestic and Foreign,/docs/species_images/doc5136.jpg,https://ecos.fws.gov/docs/species_images/doc5136.jpg,"POLYGON((-80.5063013332101 33.7528786966946,-80.5063013332101 36.5520931413854,-75.4001196937688 36.5520931413854,-75.4001196937688 33.7528786966946,-80.5063013332101 33.7528786966946))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Wyoming Toad,Bufo hemiophrys baxteri,Amphibians,Endangered,Domestic,/docs/species_images/doc4854.jpg,https://ecos.fws.gov/docs/species_images/doc4854.jpg,"POLYGON((-106.019569150478 41.1144390721871,-106.019569150478 41.6931299331386,-105.553702469774 41.6931299331386,-105.553702469774 41.1144390721871,-106.019569150478 41.1144390721871))",United States,No information available,No information available,No information available,No information available,No information available,"At its full size, the Wyoming toad is only two inches long. This toad looks lumpy - its body is covered with warts and its head has a humped ridge. The skin is various shades of brown - perfect for blending in and escaping would-be predators.

",200
St. Croix ground lizard,Ameiva polops,Reptiles,Endangered,Domestic,/docs/species_images/doc6051.jpg,https://ecos.fws.gov/docs/species_images/doc6051.jpg,"POLYGON((-64.9029399774976 17.6738453658878,-64.9029399774976 17.7903599676344,-64.5654850024961 17.7903599676344,-64.5654850024961 17.6738453658878,-64.9029399774976 17.6738453658878))",United States,No information available,No information available,No information available,No information available,No information available,"The St. Croix Ground Lizard is a small species of Ameiva measuring 35 to 77 millimeters in snout-vent length. It has parallel longitudinal black, white, and light-brown stripes. The belly is light gray with lateral blue margins, and pinkish undersides of legs, throat, and chest. The tail also has alternating rings of blue and black. Nothing is known of this species' reproductive biology. 
",200
Winged Mapleleaf,Quadrula fragosa,Clams,Endangered,Domestic,/docs/species_images/doc4990.jpg,https://ecos.fws.gov/docs/species_images/doc4990.jpg,"POLYGON((-95.9916013331649 33.2363623918058,-95.9916013331649 45.7311003325666,-87.3263220954314 45.7311003325666,-87.3263220954314 33.2363623918058,-95.9916013331649 33.2363623918058))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Willowy monardella,Monardella viminea,Flowering Plants,Endangered,Both Domestic and Foreign,/docs/species_images/doc5148.jpg,https://ecos.fws.gov/docs/species_images/doc5148.jpg,"POLYGON((-117.2508902 32.7500293,-117.2508902 33.2500551,-116.7508367 33.2500551,-116.7508367 32.7500293,-117.2508902 32.7500293))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Western snowy plover,Charadrius nivosus nivosus,Birds,Threatened,Both Domestic and Foreign,/docs/species_images/doc3688.jpg,https://ecos.fws.gov/docs/species_images/doc3688.jpg,"POLYGON((-124.625141416337 32.5342943412178,-124.625141416337 47.1598743317207,-115.500809225891 47.1598743317207,-115.500809225891 32.5342943412178,-124.625141416337 32.5342943412178))",United States,"Terrestrial and aquatic invertebrates are their main food items. Walking and hopping are employed in feeding, as well as several other activities. ","Barren to sparsely vegetated sand beaches, dry salt flats in lagoons, dredge spoils deposited on beach or dune habitat, levees and flats at salt-evaporation ponds, river bars, along alkaline or saline lakes, reservoirs, and ponds. Nests are a natural or scraped depression on dry ground usually lined with pebbles, shell fragments, fish bones, mud chips, vegetation fragments, or invertebrate skeletons.","The Snowy Plover breeds along the Pacific coast of the U.S., with this range also covering several southwestern states, while wintering along the coasts of the Baja Peninsula, western Mexico, the Gulf of Mexico and Guatemala. Distances of migratory movements are relatively short, with the direction of movement to winter areas being either northward or southward for the Pacific coast breeders, but northeast or southwest for birds breeding in the interior of western North America. ","Habitat alteration and increased use of recreational beaches threaten the conservation of this species.  Also at risk from sea level rise and stochastic events such as oil spills. The breeding population has likely decreased on the Gulf Coast since late 1800s. This species is on the 2014 State of the Birds Red Watch List, which lists species most in danger of extinction without significant conservation action. For more information about this species, including occurrence, conservation strategies and recovery actions in specific states or regions, refer to the following resource:

U.S. Fish and Wildlife Service. 2007. Recovery Plan for the Pacific Coast Population of the Western Snowy Plover (Charadrius alexandrinus nivosus). In 2 volumes. Sacramento, California. xiv + 751 pages.
 http://www.westernsnowyplover.org/pdfs/WSP%20Final%20RP%2010-1-07.pdf",No information available,"The Snowy Plover is a small shorebird with moderately long legs and a short neck. Their back is pale tan while their underparts are white, and have dark patches on the sides of their neck which reach around onto the top of their chest. Juveniles are similar to nonbreeding adults, but have scaly pale edging on their back feathers.

References cited in Species Profile  

Cornell Lab of Ornithology. 2015. Snowy Plover. All About Birds.  http://www.allaboutbirds.org/guide/Snowy_Plover/id
Gilligan, J., D. Rogers, M. Smith, and A. Contreras. 1994. Birds of Oregon: status and distribution. Cinclus Publ. McMinnville, OR.
Herman, S. G., J. B. Bulger, and J. B. Buchanan. 1988. The Snowy Plover in southeastern Oregon and western Nevada. J. Field Ornithol. 59:13-21.
Monson, G. and A. R. Phillips. 1981. Annotated checklist of the birds of Arizona. 2nd ed. Univ. of Arizona Press, Tucson.
Page, Gary W., Lynne E. Stenzel, G. W. Page, J. S. Warriner, J. C. Warriner and P. W. Paton. 2009. Snowy Plover (Charadrius nivosus), The Birds of North America Online (A. Poole, Ed.). Ithaca: Cornell Lab of Ornithology; Retrieved from the Birds of North America Online:  http://bna.birds.cornell.edu/bna/species/154
 Page, G. W. and L. E. Stenzel. 1981. The breeding status of the Snowy Plover in California. West. Birds 12:1-40.
 Paton, P. W. C. and T. C. Edwards, Jr. 1990. Status and nesting ecology of the Snowy Plover at Great Salt Lake-1990. Utah Birds 6:49-66.
 Rosenberg, K.V., D. Pashley, B. Andres, P. J. Blancher, G.S. Butcher, W.C. Hunter, D. Mehlman, A.O. Panjabi, M. Parr, G. Wallace, and D. Wiedenfeld. 2014. The State of the Birds 2014 Watch List. North American Bird Conservation Initiative, U.S. Committee. Washington, D.C. 4 pages.
 Shuford, W. D., S. Abbott, and T. D. Ruhlen. 2008. Snowy Plover (Charadrius alexandrinus). Pages 173-179 in California bird species of special concern. Studies of Western Birds 1. (Shuford, W. D. and T. Gardali, Eds.) Western Field Ornithologists, Camarillo, CA.
 U.S. Fish and Wildlife Service. 2007. Recovery Plan for the Pacific Coast Population of the Western Snowy Plover (Charadrius alexandrinus nivosus). In 2 volumes. Sacramento, California. xiv + 751 pages.",200
West Indian Manatee,Trichechus manatus,Mammals,Threatened,Both Domestic and Foreign,/docs/species_images/doc3661.jpg,https://ecos.fws.gov/docs/species_images/doc3661.jpg,"POLYGON((-97.799130116345 17.816915040383,-97.799130116345 39.7984524609016,-65.0943017898906 39.7984524609016,-65.0943017898906 17.816915040383,-97.799130116345 17.816915040383))",United States,"Manatees are herbivores that feed opportunistically on a wide variety of marine, estuarine, and freshwater plants, including submerged, floating, and emergent vegetation.  Common forage plants include and are not limited to: cord grass, alga, turtle grass, shoal grass, manatee grass, eel grass, and other plant types.  (Calves initially suckle and may start feeding on plants when a few months of age.  Weaning generally takes place within a year of birth.) Manatees also require sources of freshwater, obtained from both natural and anthropogenic sources.","Florida and Antillean manatees range freely between marine and freshwater habitats.  Specific habitat types/use areas include foraging and drinking sites, resting areas, travel corridors and others.

Florida manatees, living at the northern limit of the species' range, have little tolerance for cold.  Historically, this sub-species has sought out natural, warm-water sites, including springs, deep water areas, and areas thermally influenced by the Gulf Stream, as refuges from the cold.  In the 1930s and 40s, industrial plants, including power plants, paper mills, etc., were built along coastal and riverine shoreline areas.  Plants discharging large volumes of heated discharge water into areas accessible to manatees have attracted large numbers of wintering manatees to these warm-water sites ever since.  In the spring, manatees leave the warm-water sites and may travel great distances during the summer, only to return to warm water sites in the fall.
","The Florida manatees' range is generally restricted to the southeastern United States; individuals occasionally range as far north as Massachusetts and as far west as Texas.  Antillean manatees are found in coastal and riverine systems in South and Central America (from Brazil to Mexico) and in the Greater and Lesser Antilles throughout the Caribbean Basin.  Due to a variety of human activities (hunting, loss of habitat, etc.), manatees have been extirpated from many areas and their distribution is patchy throughout the region.  USFWS recovery activities primarily focus on manatees in Florida and Puerto Rico, although the species is managed throughout its range.","Per a 2017 statewide survey, there are at least 6620 Florida manatees.  A recent estimate of statewide Florida manatee abundance is 8,810 with 95% probability (actual abundance between 7,520 and 10,280).  Antillean manatees in Puerto Rico are thought to include about 140 animals.  Both stocks are thought to be stable and perhaps increasing in certain areas.  Survival and reproductive rates are generally positive, even in the face of increasing human-related threats, including watercraft, habitat loss, and other activities.","Manatees mature at three to five years of age.  Mature females go into heat for anywhere from two to four weeks.  Mating activity can occur throughout the year.  When in heat, females will attract numerous males and mate repeatedly; aggregations that include an estrus or focal female and numerous males are described as mating herds.  Gestation lasts for about 13 months and cows usually give birth to a single calf; twinning is known to occur.  While calving primarily peaks in the spring, calves may be born at any time of the year.  Reproductive senescence is poorly described; a known Blue Spring female has given birth to 16 individual calves over a period of about 35 years.  A calf may remain with its mother for about two years.  Calving intervals range from two and three years.  Maximum life expectancy for a manatee is unknown but a manatee in captivity lived to 69 years of age.","Manatees are protected under the Marine Mammal Protection Act, which prohibits the take (i.e., harass, hunt, capture, or kill) of all marine mammals. Manatees are found in marine, estuarine, and freshwater environments. The West Indian manatee, Trichechus manatus, includes two distinct subspecies, the Florida manatee (Trichechus manatus latirostris) and the Antillean manatee (Trichechus manatus manatus). While morphologically distinctive, both subspecies have many common features. Manatees have large, seal-shaped bodies with paired flippers and a round, paddle-shaped tail. They are typically grey in color (color can range from black to light brown) and occasionally spotted with barnacles or colored by patches of green or red algae. The muzzle is heavily whiskered and coarse, single hairs are sparsely distributed throughout the body. Adult manatees, on average, are about nine feet long (3 meters) and weigh about 1,000 pounds (200 kilograms). At birth, calves are between three and four feet long (1 meter) and weigh between 40 and 60 pounds (30 kilograms).",200
West Indian whistling duck,Dendrocygna arborea,Birds,Species of Concern,Domestic,/docs/species_images/doc5600.jpg,https://ecos.fws.gov/docs/species_images/doc5600.jpg,"POLYGON((-68.1612710642082 17.4730943476261,-68.1612710642082 18.7175491038082,-64.3554922999297 18.7175491038082,-64.3554922999297 17.4730943476261,-68.1612710642082 17.4730943476261))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
White catspaw (pearlymussel),Epioblasma obliquata perobliqua,Clams,Endangered,Domestic,/docs/species_images/doc5995.jpg,https://ecos.fws.gov/docs/species_images/doc5995.jpg,"POLYGON((-84.8734565677082 41.4609367756137,-84.8734565677082 41.6457010893282,-84.7433153373955 41.6457010893282,-84.7433153373955 41.4609367756137,-84.8734565677082 41.4609367756137))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
White-faced ibis,Plegadis chihi,Birds,Species of Concern,Both Domestic and Foreign,/docs/species_images/doc3706.jpg,https://ecos.fws.gov/docs/species_images/doc3706.jpg,"POLYGON((-109.060416168771 36.9924430866791,-109.060416168771 41.0034375586964,-102.041475666856 41.0034375586964,-102.041475666856 36.9924430866791,-109.060416168771 36.9924430866791))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
White fringeless orchid,Platanthera integrilabia,Flowering Plants,Threatened,Domestic,/docs/species_images/doc5079.jpg,https://ecos.fws.gov/docs/species_images/doc5079.jpg,"POLYGON((-88.5144527715477 32.7886555420779,-88.5144527715477 37.3558006400755,-82.1470770175834 37.3558006400755,-82.1470770175834 32.7886555420779,-88.5144527715477 32.7886555420779))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
White sturgeon,Acipenser transmontanus,Fishes,Endangered,Both Domestic and Foreign,/docs/species_images/doc5990.jpg,https://ecos.fws.gov/docs/species_images/doc5990.jpg,"POLYGON((-116.541553299985 48.4400785436602,-116.541553299985 48.9999431058149,-115.769281614369 48.9999431058149,-115.769281614369 48.4400785436602,-116.541553299985 48.4400785436602))",United States,No information available,No information available,No information available,No information available,No information available,"The Kootenai River white sturgeon (Acipenser transmontanus) is 1 of 18 land-locked populations of white sturgeon known to occur in western North America.  Kootenai sturgeon occur in Idaho, Montana, and British Columbia, Canada, and are restricted to approximately 167.7 River Mile (RM) of the Kootenai River extending from Kootenai Falls, Montana, located 31 RM below Libby Dam, Montana, downstream through Kootenay Lake to Corra Linn Dam at the outflow from Kootenay Lake in British Columbia.  Approximately 45 percent of the species range is located within British Columbia.
Many Kootenai sturgeon migrate within this restricted portion of the Kootenai River system to spawn in the Kootenai River, and they spend part of their life in Kootenay Lake in British Columbia. The Kootenai River originates in Kootenay National Park in British Columbia, flows south into Montana, northwest into Idaho, then north through the Kootenai Valley back into British Columbia, where it flows through Kootenay Lake and joins the Columbia River at Castlegar, British Columbia. 
The wild population now consists of an aging cohort of large, old fish. The population has declined from approximately 7,000 white sturgeon in the late 1970s to 760 fish in 2000.  At the current mortality rate of 9 percent per year, fewer than 500 adults remained in 2005 and there may be fewer than 50 remaining by 2030.  Current data indicate that population abundance declines by about half every 7.4 years.
During the last 14 years of intensive monitoring (using techniques proven suitable elsewhere) only one hatching embryo has been found and no free-swimming larvae or young-of-the-year have  been captured.  Estimates show that annually an average of 10 juvenile sturgeon are naturally reproduced in the Kootenai River. This suggests high levels of mortality which are unlikely to sustain the historic population of Kootenai sturgeon. 
",200
